"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.340611417E0,-5.562012593E-1,6.483948201E-1,1.598160982E-2
1.350600417E0,-6.186793432E-1,7.998113930E-1,1.516346741E-1
1.360590417E0,-7.024200960E-1,7.892136070E-1,1.362395400E-1
1.370580417E0,-9.115654251E-1,7.677169034E-1,8.250479758E-2
1.380570417E0,-1.248232900E0,7.043836641E-1,-9.563296616E-2
1.390559417E0,-1.275051154E0,4.846476388E-1,-4.106645733E-1
1.400549417E0,-1.077648057E0,2.060921323E-1,-6.444736773E-1
1.410539417E0,-9.192581682E-1,2.460566819E-2,-7.961212152E-1
1.420528417E0,-9.358063732E-1,-1.078928232E-2,-8.824150085E-1
1.430520083E0,-1.111372239E0,-1.612784868E-1,-1.047871916E0
1.440510083E0,-1.068577053E0,-2.889834309E-1,-1.066421038E0
1.450499083E0,-4.080118378E-1,-3.573990700E-1,-1.009694860E0
1.460489083E0,3.847312948E-1,-3.814688408E-1,-8.626192600E-1
1.470479083E0,8.029905973E-1,-1.543252704E-1,-5.294764870E-1
1.480468083E0,8.550458001E-1,2.550447294E-1,-1.481608433E-1
1.490458083E0,5.850701324E-1,5.723126042E-1,1.509844637E-1
1.500448083E0,2.319879887E-1,6.183284372E-1,1.835984784E-1
1.510438083E0,-1.215464920E-1,5.176040080E-1,2.194009799E-1
1.520427083E0,-2.509933216E-1,3.998340681E-1,3.371796906E-2
1.530417083E0,-1.892306810E-1,3.348141995E-1,-4.078655112E-1
1.540407083E0,2.849053451E-1,3.263181952E-1,-9.994248104E-1
1.550396083E0,8.241935514E-1,4.702740133E-2,-1.375641097E0
1.560386083E0,1.050100436E0,-1.828631911E-1,-1.432145666E0
1.570376083E0,1.137377073E0,-1.631110042E-1,-1.268606061E0
1.580365083E0,1.338011780E0,-8.497758508E-3,-7.117727906E-1
1.590355083E0,1.438245774E0,2.460347548E-1,-1.856432498E-2
1.600345083E0,1.138374535E0,3.150044176E-1,4.378003317E-1
1.610334083E0,7.896284670E-1,3.542830887E-1,5.817365617E-1
1.620324083E0,5.449683926E-1,4.067706200E-1,3.998162341E-1
1.630314083E0,7.594084485E-1,1.944783926E-3,9.306428432E-3
1.640304083E0,1.202071909E0,-5.455250475E-1,-4.525627971E-1
1.650293083E0,1.405722683E0,-7.247995099E-1,-7.777831775E-1
1.660283083E0,1.486076875E0,-6.483679229E-1,-4.542467952E-1
1.670273083E0,1.619856491E0,-5.318437323E-1,2.214995456E-1
1.680262083E0,1.648496153E0,-3.743866932E-1,7.403522265E-1
1.690252083E0,1.677676391E0,-2.825406763E-1,1.019677811E0
1.700242083E0,1.842349771E0,-2.131444591E-1,1.375851012E0
1.710231083E0,1.740271419E0,-2.098682642E-1,1.675683367E0
1.720221083E0,1.581631196E0,-2.632191369E-1,1.832538435E0
1.730211083E0,1.456392607E0,-3.544731233E-1,1.871869147E0
1.740200083E0,1.314308775E0,-5.356224954E-1,1.838678012E0
1.750190083E0,1.119505278E0,-8.011600533E-1,1.789447964E0
1.760180083E0,8.770823479E-1,-1.054530725E0,1.726852351E0
1.770170083E0,8.302736324E-1,-1.042848865E0,1.864934934E0
1.780159083E0,7.534859499E-1,-8.341079441E-1,2.241732434E0
1.790149083E0,4.348925114E-1,-6.913332635E-1,2.519650594E0
1.800139083E0,2.485069576E-1,-7.583993652E-1,2.746114426E0
1.810128083E0,2.080386704E-1,-8.488537449E-1,2.896460958E0
1.820118083E0,-2.118007690E-2,-9.298327115E-1,2.988028355E0
1.830108083E0,-2.725004223E-1,-1.029226607E0,3.113026038E0
1.840097083E0,3.698939851E-1,-1.191949941E0,3.268364924E0
1.850087083E0,8.723037109E-1,-1.454313045E0,2.978154162E0
1.860077083E0,7.442143124E-1,-1.415880466E0,2.602183458E0
1.870067083E0,8.033951515E-1,-1.279579238E0,2.347465881E0
1.880056083E0,6.361297005E-1,-1.122047355E0,2.229383115E0
1.890046083E0,3.420013046E-1,-9.032802129E-1,2.023485110E0
1.900036083E0,4.160060048E-2,-6.941644853E-1,1.652382213E0
1.910025083E0,6.594899118E-2,-5.105376479E-1,1.396972910E0
1.920015083E0,1.643471056E-1,-2.290152642E-1,9.891933525E-1
1.930005083E0,2.607507348E-2,1.110596752E-1,9.082427448E-1
1.939994083E0,4.401608527E-2,3.714201084E-1,9.011366236E-1
1.949984083E0,2.108301312E-1,4.530068931E-1,7.798174238E-1
1.959974083E0,3.598013985E-1,6.057507840E-1,8.531976414E-1
1.969963083E0,2.981506956E-1,8.343935806E-1,1.007538992E0
1.979953083E0,2.554280144E-1,8.114330265E-1,1.084246860E0
1.989943083E0,5.577945524E-1,6.950611559E-1,1.152412530E0
1.999933083E0,7.539662987E-1,6.020635298E-1,1.092691993E0
2.009922083E0,5.521116436E-1,2.062169704E-1,8.846591699E-1
2.019912083E0,2.985260868E-1,-9.067862034E-2,6.820689350E-1
2.029902083E0,-3.508329391E-3,-1.415298083E-1,6.313297212E-1
2.039891083E0,-4.833372778E-1,-1.923207700E-1,5.757379031E-1
2.049881083E0,-5.755355895E-1,-2.193810993E-1,4.920116222E-1
2.059871083E0,-4.498034960E-1,-3.917798209E-1,4.061616325E-1
