"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.380570417E0,-8.002188057E-2,-4.688269496E-1,9.781850576E-1
1.390559417E0,-7.117246091E-2,-4.809778929E-1,1.100615859E0
1.400549417E0,-7.692214847E-2,-4.357765317E-1,1.156490088E0
1.410539417E0,-5.057735741E-2,-2.849310935E-1,1.151205063E0
1.420528417E0,-1.488981023E-2,-3.644263372E-2,1.117030144E0
1.430520083E0,-2.141641825E-2,2.432257533E-1,1.060490727E0
1.440510083E0,-8.745035529E-2,5.276702642E-1,9.637165070E-1
1.450499083E0,-1.818383783E-1,8.276535273E-1,7.880941033E-1
1.460489083E0,-2.467476875E-1,1.111526132E0,5.540512204E-1
1.470479083E0,-2.570274472E-1,1.322070837E0,3.419969678E-1
1.480468083E0,-2.294369340E-1,1.369868279E0,2.648359537E-1
1.490458083E0,-2.020567060E-1,1.248444438E0,3.189407289E-1
1.500448083E0,-1.548026502E-1,1.139455914E0,4.446246922E-1
1.510438083E0,-8.280061930E-2,1.168403387E0,5.616291165E-1
1.520427083E0,-3.645730019E-2,1.335299969E0,6.322262883E-1
1.530417083E0,-3.872231767E-2,1.517975569E0,5.858385563E-1
1.540407083E0,-1.058068573E-1,1.717131138E0,4.496042132E-1
1.550396083E0,-2.173826545E-1,1.922969341E0,2.837404013E-1
1.560386083E0,-3.262544870E-1,2.028771162E0,1.521300822E-1
1.570376083E0,-3.823792934E-1,2.092070580E0,4.620178789E-2
1.580365083E0,-3.676583767E-1,2.100066900E0,-2.258711122E-2
1.590355083E0,-3.152052760E-1,2.085813999E0,-3.866808116E-2
1.600345083E0,-2.291796654E-1,2.144173145E0,-3.708783910E-2
1.610334083E0,-1.436961889E-1,2.169806480E0,-1.392686088E-2
1.620324083E0,-9.623998404E-2,2.205538750E0,-1.572950929E-2
1.630314083E0,-1.447236240E-1,2.343436718E0,-8.316421509E-2
1.640304083E0,-2.922034562E-1,2.485239029E0,-1.851840168E-1
1.650293083E0,-4.522588849E-1,2.512161255E0,-2.754385471E-1
1.660283083E0,-5.191737413E-1,2.497373104E0,-3.581553698E-1
1.670273083E0,-5.243772864E-1,2.405919313E0,-4.072142839E-1
1.680262083E0,-5.121892691E-1,2.196185350E0,-3.990516663E-1
1.690252083E0,-4.803410470E-1,1.966552258E0,-3.698594272E-1
1.700242083E0,-4.257685840E-1,1.838922262E0,-3.606476784E-1
1.710231083E0,-3.727354407E-1,1.783769250E0,-3.793769181E-1
1.720221083E0,-3.325793445E-1,1.725220919E0,-4.012506604E-1
1.730211083E0,-3.110261261E-1,1.640852213E0,-4.183734357E-1
1.740200083E0,-3.110914230E-1,1.528689265E0,-4.201635122E-1
1.750190083E0,-3.396780491E-1,1.388150454E0,-4.030716121E-1
1.760180083E0,-3.690513968E-1,1.263490796E0,-4.129321873E-1
1.770170083E0,-3.585263193E-1,1.266080618E0,-4.876866043E-1
1.780159083E0,-3.103347123E-1,1.371444941E0,-5.838324428E-1
1.790149083E0,-2.558626831E-1,1.521853924E0,-6.453900337E-1
1.800139083E0,-2.034326196E-1,1.665565610E0,-6.772696376E-1
1.810128083E0,-1.378594786E-1,1.778916717E0,-6.527845860E-1
1.820118083E0,-7.038375735E-2,1.846606135E0,-5.820983648E-1
1.830108083E0,3.276152909E-2,1.899694204E0,-5.494283438E-1
1.840097083E0,1.355968416E-1,1.937152982E0,-6.017754674E-1
1.850087083E0,1.750779450E-1,1.931725979E0,-6.401404142E-1
1.860077083E0,2.229800820E-1,1.862308979E0,-6.620363593E-1
1.870067083E0,2.888299227E-1,1.786498904E0,-6.853302121E-1
1.880056083E0,3.628616929E-1,1.723637700E0,-6.952936053E-1
1.890046083E0,3.929554224E-1,1.652654886E0,-6.471633911E-1
1.900036083E0,4.364359081E-1,1.589721799E0,-5.856301785E-1
1.910025083E0,4.770278037E-1,1.456617594E0,-5.388030410E-1
1.920015083E0,4.805435240E-1,1.282572150E0,-4.564393163E-1
1.930005083E0,4.906025529E-1,1.117464900E0,-3.508372605E-1
1.939994083E0,4.918769300E-1,8.938865662E-1,-2.325095236E-1
1.949984083E0,4.836120605E-1,6.899062395E-1,-1.461083293E-1
1.959974083E0,5.143142343E-1,5.434942245E-1,-8.654280752E-2
1.969963083E0,5.655622482E-1,4.281542599E-1,-2.836366184E-2
1.979953083E0,6.411741376E-1,3.015361726E-1,2.614690550E-2
1.989943083E0,7.410687208E-1,1.474672407E-1,4.078336805E-2
1.999933083E0,8.278617263E-1,7.007084787E-4,4.861040413E-2
2.009922083E0,8.796455264E-1,-9.503966570E-2,5.838473886E-2
2.019912083E0,9.315140843E-1,-1.564914435E-1,7.593587041E-2
2.029902083E0,9.867454171E-1,-1.893809587E-1,1.106778756E-1
2.039891083E0,1.027785301E0,-2.131249607E-1,1.355847269E-1
2.049881083E0,1.048475385E0,-2.080532312E-1,1.008690819E-1
2.059871083E0,1.033928394E0,-1.704405844E-1,3.538427129E-2
2.069860083E0,9.761993289E-1,-1.326220930E-1,-3.983990848E-2
2.079850083E0,9.579733014E-1,-1.312518269E-1,-7.842226326E-2
2.089840083E0,9.547889829E-1,-1.540298462E-1,-3.530675173E-2
2.099830083E0,9.564810395E-1,-2.240741104E-1,2.628729306E-2
2.109819083E0,9.819509387E-1,-3.416542709E-1,1.007346213E-1
2.119809083E0,1.000909686E0,-4.312857091E-1,1.756608635E-1
2.129799083E0,9.976243973E-1,-4.681872725E-1,2.383080125E-1
2.139788083E0,9.733240008E-1,-5.160663724E-1,2.822797298E-1
2.149778083E0,9.778050780E-1,-6.061395407E-1,3.420405388E-1
2.159768083E0,9.597224593E-1,-6.863563061E-1,3.815647364E-1
2.169757083E0,9.159315228E-1,-7.457211018E-1,3.903273344E-1
2.179747083E0,8.305540681E-1,-8.008991480E-1,4.011120796E-1
2.189737083E0,7.346480489E-1,-8.237378597E-1,4.346492589E-1
2.199727083E0,6.618068218E-1,-8.367686868E-1,4.842191935E-1
2.209716083E0,6.379347444E-1,-9.136959910E-1,5.410347581E-1
2.219706083E0,6.721572876E-1,-9.995886683E-1,6.072220206E-1
2.229696083E0,7.019692659E-1,-1.016779304E0,6.273475289E-1
2.239685083E0,7.036462426E-1,-9.560718536E-1,5.780582428E-1
2.249675083E0,6.776916385E-1,-8.651206493E-1,4.976667166E-1
2.259665083E0,6.573157310E-1,-7.772769332E-1,4.216263890E-1
2.269654083E0,6.459048390E-1,-7.082866430E-1,3.577169180E-1
2.279644083E0,6.086173654E-1,-6.656060219E-1,3.597330451E-1
2.289634083E0,5.546976924E-1,-7.063081861E-1,4.038310051E-1
2.299624083E0,5.121241808E-1,-7.843787670E-1,4.692040682E-1
2.309613083E0,4.674105346E-1,-8.949241638E-1,5.311526656E-1
2.319603083E0,3.989607692E-1,-9.941591024E-1,5.516451597E-1
2.329593083E0,3.276067078E-1,-1.075096488E0,5.632885098E-1
2.339582083E0,2.788830698E-1,-1.110580802E0,5.907363296E-1
2.349572083E0,2.471422106E-1,-1.108725905E0,6.363003850E-1
2.359562083E0,2.349944562E-1,-1.118635654E0,6.717631221E-1
2.369551083E0,2.373465598E-1,-1.167637587E0,6.754209399E-1
2.379541083E0,2.138612717E-1,-1.240755796E0,6.666001678E-1
2.389531083E0,1.920230836E-1,-1.265709639E0,6.627369523E-1
2.399521083E0,1.690689176E-1,-1.261953473E0,6.781412363E-1
2.409510083E0,1.525804847E-1,-1.287650347E0,7.227571607E-1
2.419500083E0,1.371439248E-1,-1.297133207E0,7.701197267E-1
2.429490083E0,9.876192361E-2,-1.319871306E0,7.929158211E-1
2.439477042E0,1.750555076E-2,-1.337043643E0,8.045160770E-1
2.449467042E0,-6.617069989E-2,-1.334548473E0,8.268882632E-1
2.459457042E0,-1.294664592E-1,-1.300798535E0,8.214821219E-1
2.469446042E0,-1.657285988E-1,-1.288097620E0,8.001906872E-1
2.479436042E0,-1.853156686E-1,-1.316235542E0,7.850366831E-1
2.489426042E0,-2.016190141E-1,-1.361323357E0,7.470487952E-1
2.499416042E0,-2.015248686E-1,-1.395691872E0,7.091640830E-1
2.509405042E0,-2.237343043E-1,-1.447486162E0,6.983715892E-1
2.519395042E0,-2.683467865E-1,-1.470995903E0,7.417793274E-1
2.529385042E0,-2.948159277E-1,-1.460403204E0,8.084888458E-1
2.539374042E0,-3.101115227E-1,-1.440574169E0,8.409644961E-1
2.549364042E0,-3.228736818E-1,-1.405599475E0,8.104135394E-1
2.559354042E0,-3.332005441E-1,-1.436262369E0,7.669361830E-1
2.569343042E0,-3.231604397E-1,-1.530100226E0,7.365769148E-1
2.579333042E0,-3.174594641E-1,-1.637481689E0,7.025051713E-1
2.589323042E0,-3.262082040E-1,-1.765199661E0,7.502468824E-1
2.599312042E0,-3.552963436E-1,-1.792708039E0,8.422293663E-1
2.609302042E0,-4.007985592E-1,-1.706237674E0,8.906211257E-1
2.619292042E0,-4.182659686E-1,-1.530668497E0,8.603612185E-1
2.629282042E0,-4.058828056E-1,-1.287894130E0,7.459971309E-1
2.639271042E0,-4.152776003E-1,-1.066916943E0,5.805628896E-1
2.649261042E0,-4.464560151E-1,-9.157170057E-1,4.216547906E-1
2.659251042E0,-4.808706343E-1,-8.476139307E-1,3.145220578E-1
2.669240042E0,-5.104447603E-1,-9.585487247E-1,3.207317591E-1
2.679230042E0,-5.342018604E-1,-1.118376017E0,4.449562430E-1
2.689220042E0,-5.369917750E-1,-1.294583797E0,6.031516790E-1
2.699209042E0,-4.987286925E-1,-1.485112786E0,7.458796501E-1
2.709199042E0,-4.697950184E-1,-1.523101211E0,7.939912081E-1
2.719189042E0,-4.679741263E-1,-1.475459099E0,7.355980873E-1
2.729179042E0,-4.741241634E-1,-1.394543052E0,6.290428638E-1
2.739168042E0,-4.747986197E-1,-1.299330711E0,4.551334381E-1
2.749158042E0,-4.842539132E-1,-1.246688008E0,3.499100804E-1
2.759148042E0,-5.151785612E-1,-1.174447656E0,3.330722451E-1
2.769137042E0,-5.267374516E-1,-1.142325401E0,3.292682171E-1
2.779127042E0,-5.246580243E-1,-1.172595024E0,3.657984734E-1
2.789117042E0,-5.315276384E-1,-1.234912157E0,4.365234971E-1
2.799106042E0,-5.278315544E-1,-1.384901166E0,5.198659301E-1
2.809096042E0,-5.105995536E-1,-1.724505901E0,7.323598266E-1
2.819086042E0,-4.501776993E-1,-2.043505907E0,1.033709288E0
2.829076042E0,-3.712903261E-1,-2.235755920E0,1.222032905E0
2.839065042E0,-3.344911933E-1,-2.159363270E0,1.245394945E0
2.849055042E0,-3.637976944E-1,-1.866690755E0,1.154281855E0
2.859045042E0,-4.185870588E-1,-1.604903102E0,9.805437326E-1
2.869034042E0,-4.760455489E-1,-1.489232898E0,8.555879593E-1
2.879024042E0,-4.880538285E-1,-1.460059643E0,8.391782641E-1
2.889014042E0,-4.401936233E-1,-1.475078344E0,8.801182508E-1
2.899004042E0,-3.654862344E-1,-1.430735111E0,8.995122313E-1
2.908993042E0,-3.153066933E-1,-1.273640275E0,8.712025285E-1
2.918983042E0,-2.850236893E-1,-1.048238158E0,7.859607935E-1
2.928973042E0,-2.516665459E-1,-8.201683760E-1,6.759962440E-1
2.938962042E0,-1.974115670E-1,-6.134083271E-1,5.983643532E-1
2.948952042E0,-1.513330191E-1,-3.775811195E-1,5.143365860E-1
2.958942042E0,-1.156470031E-1,-1.983488947E-1,4.589973986E-1
2.968931042E0,-6.519342214E-2,-5.504332483E-3,4.348899424E-1
2.978921042E0,-1.913508214E-2,2.114230692E-1,4.008454680E-1
2.988911042E0,-1.558215916E-2,3.871237636E-1,3.373583555E-1
2.998900042E0,-5.139929429E-2,3.962813318E-1,3.470375240E-1
3.008890042E0,-7.065394521E-2,3.717216551E-1,4.137680829E-1
3.018880042E0,-6.842481345E-2,3.312294483E-1,4.620178342E-1
3.028870042E0,-8.964354545E-2,3.313271701E-1,4.552864134E-1
3.038859042E0,-1.492241919E-1,4.192668200E-1,3.735996485E-1
3.048849042E0,-1.829089224E-1,5.712997913E-1,2.457290292E-1
3.058839042E0,-1.712398678E-1,7.393950820E-1,1.313975751E-1
3.068828042E0,-1.234667599E-1,9.326817393E-1,2.370360494E-2
3.078818042E0,-9.320101142E-2,1.121659994E0,-9.598012269E-2
3.088808042E0,-1.045037359E-1,1.243214369E0,-1.863896549E-1
3.098798042E0,-1.416378468E-1,1.304363489E0,-2.389819026E-1
3.108787042E0,-1.639873683E-1,1.290269256E0,-2.354739904E-1
3.118777042E0,-1.791126430E-1,1.171736121E0,-1.570600122E-1
3.128767042E0,-1.967129409E-1,9.648787975E-1,8.491933346E-3
3.138756042E0,-2.213994563E-1,7.530404925E-1,1.788703501E-1
3.148746042E0,-2.330364138E-1,5.944820046E-1,3.142148554E-1
3.158736042E0,-2.148172408E-1,5.208850503E-1,3.738574386E-1
3.168725042E0,-1.833850145E-1,5.685535073E-1,3.184194565E-1
3.178715042E0,-1.503702849E-1,7.141669989E-1,1.910539418E-1
3.188705042E0,-1.651726663E-1,8.722231984E-1,3.968172893E-2
3.198695042E0,-2.180840820E-1,1.032030344E0,-1.113237664E-1
3.208684042E0,-2.799386680E-1,1.203490019E0,-2.414125204E-1
3.218674042E0,-3.169517517E-1,1.413625836E0,-3.546351492E-1
3.228664042E0,-3.069776893E-1,1.477404475E0,-3.870692551E-1
3.238653042E0,-2.748330235E-1,1.384855866E0,-2.945622206E-1
3.248643042E0,-2.361679077E-1,1.203466892E0,-1.304790080E-1
3.258633042E0,-2.147572637E-1,9.719465971E-1,4.075977579E-2
3.268622042E0,-2.224114537E-1,8.803067207E-1,9.740920365E-2
3.278612042E0,-2.494425178E-1,9.476230145E-1,2.933507226E-2
3.288602042E0,-2.511903644E-1,1.154586554E0,-7.832161337E-2
3.298592042E0,-2.411029786E-1,1.467620611E0,-2.037978023E-1
3.308581042E0,-2.572880685E-1,1.682363868E0,-3.220978081E-1
3.318571042E0,-2.911090851E-1,1.792804241E0,-4.337636828E-1
3.328561042E0,-3.391570449E-1,1.845144749E0,-5.337379575E-1
3.338550042E0,-3.623411655E-1,1.772930741E0,-5.588319898E-1
3.348540042E0,-3.134953082E-1,1.774041057E0,-5.609865189E-1
3.358530042E0,-2.319262177E-1,1.815892220E0,-5.560815930E-1
3.368519042E0,-1.190585122E-1,1.824851394E0,-5.178990960E-1
3.378509042E0,-3.502139077E-2,1.847052932E0,-5.128536820E-1
3.388499042E0,-3.220509738E-2,1.839670062E0,-5.124683380E-1
3.398489042E0,-7.571937144E-2,1.866380811E0,-5.292195678E-1
3.408478042E0,-1.098642945E-1,1.851114273E0,-5.436354876E-1
3.418468042E0,-1.066022292E-1,1.861511350E0,-6.023451090E-1
3.428458042E0,-9.401906282E-2,1.969136000E0,-7.334293723E-1
3.438447292E0,-8.988862485E-2,2.110794306E0,-8.555770516E-1
3.448437292E0,-5.048556253E-2,2.175907850E0,-9.433521628E-1
3.458427292E0,4.629855976E-4,2.218015909E0,-1.001376867E0
3.468416292E0,2.016238868E-2,2.217096567E0,-1.006158590E0
3.478406292E0,2.381064184E-2,2.057808876E0,-9.300125837E-1
3.488396292E0,3.323716670E-2,1.882004976E0,-8.310934901E-1
3.498386292E0,5.326497369E-3,1.731838942E0,-7.220149040E-1
3.508375292E0,-3.872431815E-2,1.536423326E0,-5.796279311E-1
